Library,Free Seats,% Free,Date,Time,Opening Time,Closing Time
Bartlett Library,-1,-1.0,2024-10-27,18:41:29.726785,Closed,Closed
Cruciform Hub,170,68.82591093117408,2024-10-27,18:41:29.726806,1900-01-01 11:00:00,1900-01-01 21:00:00
Graduate Hub (Postgraduate use only),37,67.27272727272727,2024-10-27,18:41:29.726822,1900-01-01 11:00:00,1900-01-01 21:00:00
Great Ormond Street Institute of Child Health Library,-1,-1.0,2024-10-27,18:41:29.726830,Closed,Closed
Institute of Archaeology Library,-1,-1.0,2024-10-27,18:41:29.726838,Closed,Closed
IOE Library,181,55.1829268292683,2024-10-27,18:41:29.726852,1900-01-01 11:00:00,1900-01-01 21:00:00
The Joint Library of Ophthalmology,-1,-1.0,2024-10-27,18:41:29.726860,Closed,Closed
Language & Speech Science Library,-1,-1.0,2024-10-27,18:41:29.726867,Closed,Closed
Main Library,327,52.32,2024-10-27,18:41:29.726881,1900-01-01 11:00:00,1900-01-01 21:00:00
"Queen Square Institute of Neurology, Queen Square Library",-1,-1.0,2024-10-27,18:41:29.726889,Closed,Closed
School of Pharmacy Library,-1,-1.0,2024-10-27,18:41:29.726896,1900-01-01 13:00:00,1900-01-01 17:00:00
SSEES Library,-1,-1.0,2024-10-27,18:41:29.726904,Closed,Closed
Science Library,648,70.58823529411765,2024-10-27,18:41:29.726918,1900-01-01 11:00:00,1900-01-01 21:00:00
Student Centre,257,39.721792890262755,2024-10-27,18:41:29.726931,1900-01-01 00:01:00,1900-01-01 23:59:00
UCL East Library,109,72.18543046357617,2024-10-27,18:41:29.726944,1900-01-01 11:00:00,1900-01-01 21:00:00
Bartlett Library,-1,-1.0,2024-10-27,19:09:57.358122,Closed,Closed
Cruciform Hub,172,69.63562753036437,2024-10-27,19:09:57.358144,1900-01-01 11:00:00,1900-01-01 21:00:00
Graduate Hub (Postgraduate use only),34,61.81818181818181,2024-10-27,19:09:57.358161,1900-01-01 11:00:00,1900-01-01 21:00:00
Great Ormond Street Institute of Child Health Library,-1,-1.0,2024-10-27,19:09:57.358169,Closed,Closed
Institute of Archaeology Library,-1,-1.0,2024-10-27,19:09:57.358177,Closed,Closed
IOE Library,181,55.1829268292683,2024-10-27,19:09:57.358192,1900-01-01 11:00:00,1900-01-01 21:00:00
The Joint Library of Ophthalmology,-1,-1.0,2024-10-27,19:09:57.358199,Closed,Closed
Language & Speech Science Library,-1,-1.0,2024-10-27,19:09:57.358206,Closed,Closed
Main Library,358,57.28,2024-10-27,19:09:57.358220,1900-01-01 11:00:00,1900-01-01 21:00:00
"Queen Square Institute of Neurology, Queen Square Library",-1,-1.0,2024-10-27,19:09:57.358228,Closed,Closed
School of Pharmacy Library,-1,-1.0,2024-10-27,19:09:57.358235,1900-01-01 13:00:00,1900-01-01 17:00:00
SSEES Library,-1,-1.0,2024-10-27,19:09:57.358243,Closed,Closed
Science Library,693,75.49019607843137,2024-10-27,19:09:57.358257,1900-01-01 11:00:00,1900-01-01 21:00:00
Student Centre,268,41.42194744976816,2024-10-27,19:09:57.358270,1900-01-01 00:01:00,1900-01-01 23:59:00
UCL East Library,119,78.80794701986756,2024-10-27,19:09:57.358283,1900-01-01 11:00:00,1900-01-01 21:00:00
